,cluster,Ticker,Name,GICS Sector,marketCap,dist_to_centroid
0,0,CTRA,Coterra,Energy,18928871424,0.15822808666757712
1,0,PARA,Paramount Global,Communication Services,8328457728,0.2640405864048418
2,0,META,Meta Platforms,Communication Services,1610026188800,0.2641011779472637
3,0,MTCH,Match Group,Communication Services,7172831232,0.26410370608427414
4,0,CAH,Cardinal Health,Health Care,36815925248,0.2641041383695465
5,0,C,Citigroup,Financials,141424525312,0.2641043158217312
6,0,T,AT&T,Communication Services,199462027264,0.2641088907666755
7,0,MOH,Molina Healthcare,Health Care,17633427456,0.2641169305930279
8,0,PYPL,PayPal,Financials,70197428224,0.26411746991403684
9,0,JBHT,J.B. Hunt,Industrials,14685760512,0.26411974068670185
10,0,KMB,Kimberly-Clark,Consumer Staples,46145654784,0.2641221068477658
11,0,DAL,Delta Air Lines,Industrials,33248466944,0.26412356886686333
12,0,CI,Cigna,Health Care,85736873984,0.26412426084899626
13,0,TGT,Target Corporation,Consumer Staples,44790808576,0.2641246441792815
14,0,NTAP,NetApp,Information Technology,20747079680,0.2641264873587396
15,2,TFC,Truist Financial,Financials,54214955008,0.15412586472806236
16,2,MAR,Marriott International,Consumer Discretionary,74836606976,0.1541428257718838
17,2,BRK-B,Berkshire Hathaway,Financials,1109104394240,0.30456660026073096
18,2,HUM,Humana,Health Care,28720107520,0.43096034471217526
19,2,LOW,Lowe's,Consumer Discretionary,131099926528,0.4309613574054813
20,2,EPAM,EPAM Systems,Information Technology,10401435648,0.43096238534198883
21,2,IRM,Iron Mountain,Real Estate,29684377600,0.4309691231217219
22,2,DELL,Dell Technologies,Information Technology,79686467584,0.43097950398238793
23,2,PNC,PNC Financial Services,Financials,70972628992,0.4309805334766313
24,2,TER,Teradyne,Information Technology,13271546880,0.4309835398820099
25,2,AFL,Aflac,Financials,57751699456,0.4309842521935453
26,2,MAS,Masco,Industrials,14272336896,0.43098504034801993
27,2,JBL,Jabil,Information Technology,18011416576,0.43098588356009426
28,2,ENPH,Enphase Energy,Information Technology,6612832768,0.4309862132639983
29,2,CHRW,C.H. Robinson,Industrials,11906344960,0.4309892692010527
